USD/JPY,売,決済,1000,107.600,107.600,107.600,+330,"2019/09/11 14:29:18","2019/09/11 21:30:02",119000000122793
USD/JPY,売,決済,1000,107.600,107.600,107.600,+530,"2019/09/11 09:37:57","2019/09/11 21:30:02",119000000075764
EUR/USD,買,決済,1000,1.10000,1.10000,1.10000,+239,"2019/09/02 22:10:17","2019/09/11 20:53:35",119000000223073
EUR/JPY,買,決済,1000,118.560,118.560,118.560,+500,"2019/09/02 22:08:05","2019/09/11 19:58:54",119000000222995
EUR/USD,買,決済,1000,1.10200,1.10200,1.10200,+221,"2019/09/09 09:49:17","2019/09/11 19:09:44",119000000237502
EUR/JPY,売,新規,1000,119.060,119.060,119.060,,"2019/09/02 22:08:05","2019/09/11 13:04:02",119000000222994
EUR/JPY,売,新規,1000,118.820,118.820,118.820,,"2019/09/02 22:08:05","2019/09/11 08:51:17",119000000222997
EUR/USD,買,決済,1000,1.10400,1.10400,1.10400,+217,"2019/09/06 00:56:40","2019/09/10 17:11:26",119000000233089
USD/JPY,売,決済,1000,107.200,107.200,107.200,+529,"2019/09/10 05:14:42","2019/09/10 16:41:24",119000000147052
USD/JPY,売,決済,1000,107.200,107.200,107.200,+329,"2019/09/10 09:56:01","2019/09/10 16:41:24",119000000075724
EUR/JPY,売,新規,1000,118.580,118.580,118.580,,"2019/09/02 22:08:05","2019/09/10 09:51:15",119000000223000
EUR/USD,売,新規,1000,1.10600,1.10600,1.10600,,"2019/09/06 00:56:40","2019/09/09 23:04:11",119000000233088
EUR/JPY,売,新規,1000,118.340,118.340,118.340,,"2019/09/09 10:47:44","2019/09/09 23:03:39",119000000237549
EUR/USD,売,新規,1000,1.10400,1.10400,1.10400,,"2019/09/09 09:49:17","2019/09/09 21:36:21",119000000237501
EUR/JPY,買,決済,1000,117.840,117.840,117.840,+500,"2019/09/02 22:08:05","2019/09/09 10:47:44",119000000223004
EUR/USD,買,決済,1000,1.10200,1.10200,1.10200,+220,"2019/09/02 22:10:17","2019/09/09 09:49:17",119000000223070
USD/JPY,売,決済,1000,106.800,106.796,106.796,+515,"2019/09/05 21:23:34","2019/09/06 06:21:27",119000000182193
USD/JPY,売,決済,1000,106.800,106.796,106.796,+322,"2019/09/05 23:00:18","2019/09/06 06:21:27",119000000158316
EUR/USD,買,決済,1000,1.10400,1.10400,1.10400,+213,"2019/09/02 22:10:17","2019/09/06 00:56:40",119000000223067
USD/JPY,売,決済,1000,106.900,106.899,106.899,+517,"2019/09/05 22:39:26","2019/09/06 00:29:44",119000000181913
USD/JPY,売,決済,1000,106.900,106.899,106.899,+326,"2019/09/05 23:15:25","2019/09/06 00:29:44",000020705402796
EUR/USD,買,決済,1000,1.10600,1.10600,1.10600,+214,"2019/09/02 22:10:17","2019/09/05 23:24:34",119000000223064
USD/JPY,売,新規,10000,107.000,107.000,107.000,,"2019/08/26 21:31:37","2019/09/05 23:00:18",119000000211895
EUR/USD,売,新規,1000,1.10800,1.10800,1.10800,,"2019/09/02 22:10:17","2019/09/05 22:56:35",119000000223063
EUR/JPY,売,新規,1000,118.340,118.340,118.340,,"2019/09/02 22:08:05","2019/09/05 22:38:01",119000000223003
EUR/JPY,売,新規,1000,118.100,118.100,118.100,,"2019/09/02 22:08:05","2019/09/05 21:24:04",119000000223006
EUR/USD,売,新規,1000,1.10600,1.10600,1.10600,,"2019/09/02 22:10:17","2019/09/05 20:35:27",119000000223066
EUR/JPY,売,新規,1000,117.860,117.860,117.860,,"2019/09/02 22:08:05","2019/09/05 19:57:20",119000000223009
EUR/USD,売,新規,1000,1.10400,1.10400,1.10400,,"2019/09/02 22:10:17","2019/09/05 16:45:54",119000000223069
USD/JPY,売,決済,1000,106.400,106.398,106.398,+302,"2019/09/05 10:34:44","2019/09/05 15:17:31",119000000219661
USD/JPY,売,決済,1000,106.400,106.398,106.398,+501,"2019/09/05 03:20:03","2019/09/05 15:17:31",119000000219700
USD/JPY,売,決済,1000,106.500,106.500,106.500,+503,"2019/09/05 10:26:45","2019/09/05 13:24:13",119000000219888
USD/JPY,売,決済,1000,106.500,106.500,106.500,+316,"2019/09/05 11:13:27","2019/09/05 13:24:13",119000000186753
